genes	mask	nuclei	overlapping_matrix_peaks	counts_in_overlapping_whole_peaks	caveat
ANO2/NTF3	all_QC	5849	0	0	Whole-peak count, not counts limited to candidate interval; zero overlapping peaks is unassessed local signal
ANO2/NTF3	T_marker_2plus	93	0	0	Whole-peak count, not counts limited to candidate interval; zero overlapping peaks is unassessed local signal
ANO2/NTF3	T_marker_strict	58	0	0	Whole-peak count, not counts limited to candidate interval; zero overlapping peaks is unassessed local signal
ANO2/NTF3	T_marker_broad	133	0	0	Whole-peak count, not counts limited to candidate interval; zero overlapping peaks is unassessed local signal
LOC119876429/LOC119872513	all_QC	5849	1	79	Whole-peak count, not counts limited to candidate interval; zero overlapping peaks is unassessed local signal
LOC119876429/LOC119872513	T_marker_2plus	93	1	3	Whole-peak count, not counts limited to candidate interval; zero overlapping peaks is unassessed local signal
LOC119876429/LOC119872513	T_marker_strict	58	1	2	Whole-peak count, not counts limited to candidate interval; zero overlapping peaks is unassessed local signal
LOC119876429/LOC119872513	T_marker_broad	133	1	2	Whole-peak count, not counts limited to candidate interval; zero overlapping peaks is unassessed local signal
NPNT/TBCK	all_QC	5849	1	87	Whole-peak count, not counts limited to candidate interval; zero overlapping peaks is unassessed local signal
NPNT/TBCK	T_marker_2plus	93	1	0	Whole-peak count, not counts limited to candidate interval; zero overlapping peaks is unassessed local signal
NPNT/TBCK	T_marker_strict	58	1	0	Whole-peak count, not counts limited to candidate interval; zero overlapping peaks is unassessed local signal
NPNT/TBCK	T_marker_broad	133	1	2	Whole-peak count, not counts limited to candidate interval; zero overlapping peaks is unassessed local signal
